,Date,CAPE
0,"Dec 3, 2020",33.6
1,"Nov 1, 2020",31.33
2,"Oct 1, 2020",31.28
3,"Sep 1, 2020",30.84
4,"Aug 1, 2020",31.16
5,"Jul 1, 2020",29.6
6,"Jun 1, 2020",28.84
7,"May 1, 2020",27.33
8,"Apr 1, 2020",25.93
9,"Mar 1, 2020",24.82
10,"Feb 1, 2020",30.73
11,"Jan 1, 2020",30.99
12,"Dec 1, 2019",30.33
13,"Nov 1, 2019",29.84
14,"Oct 1, 2019",28.84
15,"Sep 1, 2019",29.23
16,"Aug 1, 2019",28.71
17,"Jul 1, 2019",29.99
18,"Jun 1, 2019",29.28
19,"May 1, 2019",29.24
20,"Apr 1, 2019",30.13
21,"Mar 1, 2019",29.58
22,"Feb 1, 2019",29.54
23,"Jan 1, 2019",28.38
24,"Dec 1, 2018",28.29
25,"Nov 1, 2018",30.2
26,"Oct 1, 2018",31.04
27,"Sep 1, 2018",32.62
28,"Aug 1, 2018",32.39
29,"Jul 1, 2018",31.89
30,"Jun 1, 2018",31.63
31,"May 1, 2018",31.24
32,"Apr 1, 2018",30.97
33,"Mar 1, 2018",31.81
34,"Feb 1, 2018",32.04
35,"Jan 1, 2018",33.31
36,"Dec 1, 2017",32.09
37,"Nov 1, 2017",31.3
38,"Oct 1, 2017",30.92
39,"Sep 1, 2017",30.17
40,"Aug 1, 2017",29.91
41,"Jul 1, 2017",30.0
42,"Jun 1, 2017",29.75
43,"May 1, 2017",29.31
44,"Apr 1, 2017",28.9
45,"Mar 1, 2017",29.09
46,"Feb 1, 2017",28.66
47,"Jan 1, 2017",28.06
48,"Dec 1, 2016",27.87
49,"Nov 1, 2016",26.85
50,"Oct 1, 2016",26.53
51,"Sep 1, 2016",26.73
52,"Aug 1, 2016",26.95
53,"Jul 1, 2016",26.69
54,"Jun 1, 2016",25.84
55,"May 1, 2016",25.69
56,"Apr 1, 2016",25.92
57,"Mar 1, 2016",25.37
58,"Feb 1, 2016",24.0
59,"Jan 1, 2016",24.21
60,"Dec 1, 2015",25.97
61,"Nov 1, 2015",26.23
62,"Oct 1, 2015",25.49
63,"Sep 1, 2015",24.5
64,"Aug 1, 2015",25.69
65,"Jul 1, 2015",26.38
66,"Jun 1, 2015",26.5
67,"May 1, 2015",26.81
68,"Apr 1, 2015",26.79
69,"Mar 1, 2015",26.73
70,"Feb 1, 2015",27.0
71,"Jan 1, 2015",26.49
72,"Dec 1, 2014",26.79
73,"Nov 1, 2014",26.61
74,"Oct 1, 2014",25.16
75,"Sep 1, 2014",25.92
